"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,102281748,15,1156,,108870505
2017,103265541,20,815,,110145303
2017,102285136,50,32,,108875199
2017,101517390,61,800,,107877624
2017,101517459,29,500,,107877716
2017,101517624,6,40,,107877914
2017,101517623,37,100,,107877911
2017,101517993,52,0,,107878428
2017,101518243,25,10,,107878724
2017,101518300,6,10,,107878780
2017,101518331,38,674,,107878821
2017,101518522,15,1500,,107879068
2017,101539627,10,,,107906907
2017,101540622,2,11,,107908329
2017,101540717,63,1,,107908442
2017,101540878,3,35000,,107908654
2017,101542337,20,180,,107910672
2017,101542498,29,500,,107910920
2017,101543391,10,120,,107912237
2017,101543391,16,600,,107912230
2017,101543391,27,200,,107912236
2017,101544327,63,75,,107913490
2017,101544447,3,2500,,107913643
2017,101544452,64,3700,,107913651
2017,101544452,67,1,,107913654
2017,101550540,10,,,107921463
2017,101550838,63,10000,,107921840
2017,101550880,38,300,,107921890
2017,101550875,15,1500,,107921886
2017,101550973,17,500,,107922004
2017,101552328,3,1000,,107923652
2017,101552426,63,20,,107923775
2017,101529148,61,16,21-NOV-17,107893150
2017,101529153,61,16,,107893156
2017,101529524,37,5000,,107893722
2017,101529737,38,300,,107894000
2017,101532078,10,,,107896998
2017,101532240,63,5200,,107897229
2017,101532423,52,0,,107897444
2017,101532516,3,1,,107897523
2017,101532797,24,800,,107897862
2017,102601495,33,300,,109292684
2017,102601212,26,150,,109292389
2017,102601212,17,525,,109292388
2017,102601630,63,150,,109292843
2017,102601773,15,15000,,109293012
2017,102601860,11,35,,109293122
2017,102601860,10,,,109293121
2017,102601877,16,134,,109293143
2017,102602079,10,,,109293381
2017,102602233,10,,,109293572
2017,102602507,37,200,,109293930
2017,102602418,63,28,,109293810
2017,102602418,6,84,,109293806
2017,102602594,38,500,,109294059
2017,102602576,17,3000,,109294032
2017,102602813,64,1789,,109294352
2017,102602813,36,1304,,109294355
2017,102602893,20,100,,109294494
2017,102603072,59,500,,109294765
2017,102603262,11,20,,109295027
2017,102603262,10,,,109295024
2017,102604299,29,100,,109296495
2017,102605192,22,0,,109297780
2017,102605200,22,0,,109297791
2017,102605200,61,700,,109297785
2017,102605418,13,1156,,109298075
2017,102605418,63,1,,109298084
2017,102605418,49,50,,109298081
2017,102606386,19,59,,109299385
2017,102629727,27,6600,,109328081
2017,102629792,3,3000,,109328151
2017,102630910,3,12000,,109329459
2017,102630927,20,50,,109329493
2017,102632441,3,2000,,109331310
2017,102632716,20,98000,,109331642
2017,102632832,3,3500,,109331774
2017,102632914,63,2500,,109331869
2017,102633249,20,198,,109332292
2017,102633434,36,3,,109332524
2017,102633431,43,70,21-DEC-17,109332507
2017,102633431,36,3,21-DEC-17,109332512
2017,102633434,43,70,,109332520
2017,102256373,10,40,,108837106
2017,102256399,7,350,,108837133
2017,102256599,37,9500,,108837397
2017,102259568,20,20,,108841059
2017,102259886,20,740,,108841409
2017,102259904,26,50,,108841436
2017,102259904,36,100,,108841432
2017,102260177,3,1500,,108841764
2017,102260225,52,0,,108841825
2017,102260248,19,66,,108841858
2017,102260560,63,3775,,108842238
2017,102260560,25,3650,,108842236
2017,102260560,26,364,,108842239
2017,102260607,3,1500,,108842296
2017,102260630,25,30,,108842323
2017,102260630,51,0,,108842329
2017,102260630,9,0,,108842325
2017,102260668,20,200,,108842372
2017,102260726,10,,,108842439
2017,102260930,22,0,,108842705
2017,102261073,10,,,108842902
2017,102261073,11,5,,108842905
2017,102261125,29,20,,108842972
2017,102261138,4,1000,,108842985
2017,102261138,63,25,,108842991
2017,102261138,22,0,,108842994
2017,102261138,36,1000,,108842986
2017,102261138,20,50,,108842989
2017,102261138,7,600,,108842987
2017,102261148,63,200,,108843013
2017,102261161,38,350,,108843033
2017,102261161,63,200,,108843035
2017,102261252,6,430,,108843165
2017,102261269,38,400,,108843181
2017,102261292,63,100,,108843212
2017,102261333,63,200,,108843265
2017,102261387,3,500,,108843340
2017,102261519,63,80,,108843534
2017,102261519,7,1242,,108843516
2017,102261586,21,753,,108843633
2017,102261647,36,450,,108843708
2017,102274871,3,100,,108861338
2017,102274944,20,65,,108861439
2017,102276484,13,396,,108863408
2017,102276593,24,5500,,108863557
2017,102277068,54,341,26-DEC-17,108864193
2017,102277078,64,5500,,108864204
2017,102278112,3,1,,108865669
2017,102278258,20,20,,108865872
2017,102278299,23,100,,108865917
2017,102278383,22,0,,108866029
2017,102278480,20,10000,,108866142
2017,102284933,10,,,108874934
2017,102285061,10,,,108875104
2017,102285152,19,14,,108875210
2017,102285152,8,3,,108875212
2017,102285657,11,10,,108875893
2017,102285657,10,,,108875892
